Stage Name,Full Name,Korean Name,Korean Stage Name,Date of Birth,Group,Country,Second Country,Height,Weight,Birthplace,Other Group,Former Group,Gender,Position,Instagram,Twitter
G.O,Jung Byunghee,정병희,지오,11/6/1987,MBLAQ,South Korea,,0,0,Changwon,,,M,,,
Gabin,Kim Gabin,김가빈,가빈,9/18/1989,Blady,South Korea,,0,0,Busan,,,F,,_kimgabin,
Gaeul,Park Gaeul,박가을,가을,5/8/1999,Favorite,South Korea,,164,48,Seoul,,,F,,,
Gaeun,Cho Kaeun,조가은,가은,7/28/1992,,South Korea,,0,0,Changwon,,Dal Shabet,F,,,
Gaga,Lee Soobin,이수빈,가가,11/10/1994,Gate9,South Korea,,164,0,,,,F,,gagag9,
Gaga,Li Jia Jia,리 지아 지아,가가,9/1/1999,NATURE,China,,0,0,,,,F,,,
Gahyeon,Lee Gahyeon,이가현,가현,2/3/1999,Dreamcatcher,South Korea,,0,0,Seongnam,,,F,,,
Gain,Son Gain,손가인,가인,9/20/1987,Brown Eyed Girls,South Korea,,0,0,,,,F,,songain87,
Gaon,Beom Gaon,범가온,가온,3/9/2001,Bonus Baby,South Korea,,163,0,,,,F,,,
Gayoon,Heo Gayoon,허가윤,가윤,5/18/1990,4minute,South Korea,,165,0,Seoul,2YOON,,F,,gayoon_heo,
Gayoung,Kim Gayoung,김가영,가영,12/2/1991,Stellar,South Korea,,0,0,Seoul,,,F,,,
Genie,Kim Jiwon,김지원,지니,7/1/1997,Good Day,South Korea,,0,0,Daegu,,,F,,,
Geummi,Baek Boram,백보람,금미,6/18/1988,Crayon Pop,South Korea,,165,0,Seoul,,,F,Leader,g.mi,
Gihwan,Kim Gihwan,김기환,기환,11/24/1993,SIGNAL,South Korea,,0,0,,,,M,,,
Gijung,Kim Gijung,김기중,기중,1/24/2001,IM,South Korea,,180,0,,,,M,,,
Gikwang,Lee Gikwang,이기광,기광,3/30/1990,Highlight,South Korea,,171,58,Gwangju,,Beast,M,,,
Giru,Park Giru,박기루,기루,8/14/1991,Blady,South Korea,,0,0,Incheon,,,F,,giru_p,
Giseok,Jun Giseok,정기석,기석,5/2/1997,IM,South Korea,,180,0,,,,M,,,
Gohn,Kim Dongsung,김동성,곤,8/1/1992,,South Korea,,0,0,Seoul,,Topp Dogg,M,,,
Gohyeon,Go Hyeon,고현,고현,10/1/1994,14U,South Korea,,0,0,,,,M,,,
Gon,Kim Seongjung,김성중,곤,11/13/1998,ARGON,South Korea,,0,0,,,,M,,,
Gongchan,Gong Chansik,공찬식,공찬,8/14/1993,B1A4,South Korea,,181,60,Suncheon,,,M,,,
Gowon,Park Chaewon,박채원,고원,11/19/2000,LOONA,South Korea,,0,0,,Loona yyxy,,F,,,
Gowoon,Moon Joojeong,문유정,고운,12/18/1998,Berry Good,South Korea,,167,0,,,,F,,,
Gracie,Kim Gaeun,김가운,그레이시,10/28/1996,H.U.B,South Korea,,0,0,,,,F,,i.m_gracie,
Gun,Kwak Gun,곽건,건,9/29/2001,14U,South Korea,,0,0,,,,M,,,
Gun,Yang Hyuk,양혁,건,3/15/2000,ENOi,South Korea,,183,67,,,,M,,,
Gunmin,Lee Gunmin,이건민,건민,10/3/1994,B.I.G,South Korea,,177,64,Gangwon,,,M,,,
Gunwoo,Lee Gunwoo,이건우,건우,1/30/1989,MYNAME,South Korea,,0,0,Daejeon,,,M,,,
Gyehyeon,Jo Gyehyeon,조계현,계현,5/14/1999,Verivery,South Korea,,0,0,,,,M,,,
Gyeongtae,Kwon Gyeongtae,권경태,경태,7/23/2000,14U,South Korea,,0,0,,,,M,,,
Gyujin,Han Gyujin,한규진,규진,11/21/1997,UP10TION,South Korea,,0,0,Icheon,,,M,,,
Gyuri,Park Gyuri,박규리,규리,5/21/1988,KARA,South Korea,,0,0,Seoul,,,F,,,
Gyuri,Jang Gyuri,장규리,규리,12/27/1997,fromis_9,South Korea,,0,0,Seoul,,,F,,,
Habin,Yoo Habin,유하빈,하빈,3/10/2002,Dreamnote,South Korea,,165,48,,,,F,,,
Haebin,Han Haebin,한해빈,해빈,8/16/1995,Gugudan,South Korea,,0,0,,,,F,,,
Haechan,Lee Donghyuk,이동혁,해찬,6/6/2000,NCT,South Korea,,0,0,,"NCT 127, NCT Dream",,M,,,
Haein,Yeom Haein,염해인,해인,5/19/1995,LABOUM,South Korea,,162,45,Ojeonggu,,,F,Lead Dancer,,
Haena,Lee Haena,이해나,해나,6/2/1991,Matilda,South Korea,,0,165,,,,F,,,
Haena,Jeon Eunbi,전은비,해나,2/19/2002,ANS,South Korea,,0,0,,,,F,,,
Haeri,Lee Haeri,이해리,해리,2/14/1985,Davichi,South Korea,,0,0,Seoul,,,F,,,
Haeri,Jung Haeri,정해리,해리,1/14/1997,P.O.P,South Korea,,0,0,Seoul,,,F,,,
Haeryeong,Na Haeryeong,나해령,해령,11/11/1994,BESTie,South Korea,,0,0,,,,F,,bestie_hr,
Haeun,Yoon Haeun,윤하은,하은,3/12/1999,3YE,South Korea,,163,0,,,Apple.B,F,,,
Haeyeon,Lee Taeyeon,이태연,해연,1/11/1994,Gate9,South Korea,,161,0,,,,F,,ha2y2on_gnine,
Haeyoon,Park Haeyoon,박해윤,해윤,1/10/1996,Cherry Bullet,South Korea,,157,43,,,,F,,,
Hajeong,Lee Hajeong,이하정,하정,9/23/1997,,South Korea,,0,0,,,NeonPunch,F,,sunghyuk_seo,
Hakmin,Lee Hakmin,이학민,학민,9/20/2000,TRCNG,South Korea,,171,0,,,,M,,,
Hamin,Jo Hamin,조하민,하민,10/24/1997,ENOi,South Korea,,183,65,,,,M,,,
Han,Han Jisung,한지성,한,9/14/2000,Stray Kids,South Korea,,0,0,Incheon,3RACHA,,M,,,
Han Geng,Han Geng,한경,한경,2/9/1984,,China,,181,66,Mudanjiang,,Super Junior,M,,,
Han Hyeri,Han Hyeri,한혜리,한혜리,8/24/1997,I.B.I,South Korea,,159,42,Gwangmyeong,,,F,,soh_eee,
Han Leeseul,Han Jiyoon,한지윤,한이슬,2/12/2000,Rockit Girl,South Korea,,0,0,,,,F,,,
Hana,Shin Bora,신보라,하나,4/30/1993,Gugudan,South Korea,,0,0,,,,F,,,
Hana,Jung Hana,정하나,하나,2/2/1990,SECRET,South Korea,,0,0,Uljeongbu,,,F,,,supahana
Hanbyeol,Ahn Hanbyeol,안한별,한별,10/13/2003,Dreamnote,South Korea,,166,44,,,,F,,,
Handong,Han Dong,한동,한동,3/26/1996,Dreamcatcher,China,,0,0,Wuhan,,,F,,,
Haneul,Lee Haneul,이하늘,하늘,6/3/1996,ARGON,South Korea,,175,0,,,,M,,,
Hangyul,Lee Hangyul,이한결,한결,12/7/1999,X1,South Korea,,177,0,,IM,,M,,,
Hani,Ahn Hee-yeon,안희연,하니,5/1/1992,EXID,South Korea,,168,0,Seoul,,,F,,ahnhani_92,
Hanna,Shin Jiyeon,신지연,한나,2/19/1994,MIXX,South Korea,,170,48,,,,F,Leader,,
Hanse,Do Hanse,도한세,한세,9/25/1997,VICTON,South Korea,,0,0,,,,M,,,
Hansol,Kim Hansol,김한솔,한솔,6/15/1993,,South Korea,,0,0,Busan,,Topp Dogg,M,,,
Hara,Koo Hara,구하라,하라,1/13/1991,KARA,South Korea,,0,0,Gwangju,,,F,,,
Harin,Ju Harin,주하린,주하린,3/29/1998,Onewe,South Korea,,0,0,,,MAS,M,,,
Harin,,,하린,11/21/1995,Lusty,South Korea,,160,43,Seoul,,,F,Sub Vocal,,
Harin,Park Guenhye,박근혜,하린,5/26/2000,Pink Fantasy,South Korea,,164,48,,,,F,,,
Haru,Han Sangsook,한상숙,하루,7/6/1994,Gate9,South Korea,,160,0,Bucheon,,,F,,hanharuuu,
Haru,Abe Haruno,아베 하루노,하루,2/21/2000,NATURE,Japan,,0,0,,,,F,,,
Haru,Lee Yoojeong,이유정,하루,2/26/1997,Ho1iday,South Korea,,164,0,,,MyB,F,,,
Haruto,Watanabe Haruto,와타나베 하루토,하루토,4/5/2004,Treasure,Japan,,0,0,,,,M,,,
Haseul,Jo Haseul,조하슬,하슬,8/18/1997,LOONA,South Korea,,0,0,Ansan,Loona 1/3,,F,,,
Hayoon,Jung Hayoon,정하윤,하윤,11/21/1998,Bonus Baby,South Korea,,163,0,,,MyB,F,,,
Hayoung,Oh Hayoung,오하영,하영,7/19/1996,Apink,South Korea,,167,0,Seoul,,,F,,o_h_y_y,
Hayoung,Lee Hayoung,이하영,하영,8/3/1993,Playback,South Korea,,0,0,,,,F,,,
Hayoung,Choi Hayoung,최하영,하영,8/22/2000,TRCNG,South Korea,,181,0,,,,M,,,
Hayoung,Song Hayoung,송하영,하영,9/29/1997,fromis_9,South Korea,,0,0,Gwangju,,,F,,,
Hayun,Lee Hayun,이하윤,하윤,8/29/1994,Brave Girls,South Korea,,0,0,Changwon,,,F,,hayoon.y,
Heechul,Kim Heechul,김희철,희철,7/10/1983,Super Junior,South Korea,,179,60,Hoengseong,,,M,,,
Heechul,Jung Heechul,정희철,희철,12/9/1989,ZE:A,South Korea,,0,0,Jeju,,,M,,,
Heedo,Yoon Heedo,유희도,희도,4/22/1996,B.I.G,South Korea,,180,60,Seoul,,,M,,,
Heejin,Jeon Heejin,전희진,희진,10/19/2000,LOONA,South Korea,,0,0,Seongnam,Loona 1/3,,F,,,
Heejin,Song Heejin,송희진,희진,8/19/1995,Good Day,South Korea,,0,0,Seoul,,,F,,,
Heejoo,Jeon Heejoo,전희주,희주,11/30/1996,Ho1iday,South Korea,,0,0,,,MyB,F,,,
Heejun,Oh Heejun,오희준,희준,5/8/1996,KNK,South Korea,,180,61,,,,M,,,
Heeo,Gwak Heeoh,곽히오,히오,5/2/1994,4TEN,South Korea,,0,0,,,,F,,,
Heeseok,Yun Heeseok,윤희석,희석,6/10/1997,Limitless,South Korea,,180,61,,,,M,,,
Heesun,Park Heesun,박희선,희선,1/25/2005,Pink Fantasy,South Korea,,162,45,,,,F,,,
Heeyu,Choi Heejae,최희재,희유,6/30/1995,MIXX,South Korea,,159,0,,,,F,,,
Henny,Kang Gayoung,강가영,헤니,12/1/1994,,South Korea,,168,50,,,MIXX,F,,,
Henry,Henry Lau,헨리 라우,헨리,10/11/1989,Super Junior-M,Canada,"Hong Kong, Taiwan",176,63,Toronto,,,M,,,
Heo Chan,Heo Chan,허찬,허찬,12/14/1995,VICTON,South Korea,,0,0,,,,M,,,
High.D,Kim Dohee,김도희,하이디,12/21/1996,Sonamoo,South Korea,,165,0,Suwon,,,F,Main Vocalist,,SONAMOO_HighD
HighTop,Lim Hyeontae,임현태,하이탑,3/19/1994,Bigflo,South Korea,,178,60,,,,M,,,
Himchan,Kim Himchan,김힘찬,힘찬,4/19/1990,B.A.P,South Korea,,180,69,Seoul,,,M,,,
Hitomi,Honda Hitomi,혼다 히토미,히토미,10/6/2001,IZ*ONE,Japan,,0,0,Toghichi,,,F,,,
Hohyeon,Lee Hohyeon,이호현,호현,10/14/2001,TRCNG,South Korea,,177,0,,,,M,,,
Hojoon,Jeon Hojoon,전호준,호준,10/31/1992,Topp Dogg,South Korea,,0,0,Gwangju,,,M,,,
Hojung,Go Hojung,고호정,호정,10/20/1994,HOTSHOT,South Korea,,0,0,,,,M,,,
Hongbin,Lee Hongbin,이홍빈,홍빈,9/29/1993,VIXX,South Korea,,181,62,Seoul,,,M,,,
Honggi,Lee Honggi,이홍기,홍기,3/2/1990,FTISLAND,South Korea,,0,0,Gwangju,,,M,Vocal,,
Hongil,Yoon Hongil,윤홍일,홍일,1/11/1999,Astin,South Korea,,0,0,,,,M,,,
Hongjoong,Kim Hongjoong,김홍중,홍중,11/7/1998,ATEEZ,South Korea,,171,0,,,,M,,,
Hongseob,Shim Hongseob,심홍섭,홍섭,1/8/1998,24K,South Korea,,177,58,,,,M,,,
Hongseok,Yang Hongseok,양홍석,홍석,4/17/1994,PENTAGON,South Korea,,0,0,,,,M,,,
Hoon,Yeo Hoonmin,여훈민,훈,8/16/1991,U-KISS,South Korea,,0,0,Namyangju,,,M,,,
Hoshi,Kwon Soonyoung,권순영,호시,6/15/1996,Seventeen,South Korea,,178,63,Namyangju,,,M,,,
Hoya,Lee Howon,이호원,호야,3/28/1991,,South Korea,,178,60,Busan,Infinite H,Infinite,M,,,
Hoyoung,Bae Hoyoung,배호영,호영,8/10/1998,Verivery,South Korea,,0,0,,,,M,,,
Hueningkai,Chung Kai,정카이,휴닝카이,8/14/2002,TXT,USA,South Korea,0,0,,,,M,,,
Hui,Lee Hwitaek,이회택,후이,8/28/1993,PENTAGON,South Korea,,0,0,,,,M,Leader,,
Hui,Liang Hui,양휘,양휘,7/18/1995,24K,China,,178,58,,,,M,,,
Huihyeon,Ki Huihyeon,기희현,희현,6/16/1995,DIA,South Korea,,167,46,Namwon,,,F,,,
Huijun,Noh Huijun,노휘준,휘준,10/7/2003,MCND,South Korea,,0,0,,,,M,,,
Hwall,Heo Hyunjoon,허현준,활,3/9/2000,The Boyz,South Korea,,178,56,Busan,,,M,,,
Hwanhee,Lee Hwanhee,이환희,환희,11/6/1998,UP10TION,South Korea,,0,0,Daejeon,,,M,,,
Hwani,Jo Sihyeon,조시환,화니,11/16/1994,DUSTIN,South Korea,,0,0,,,,M,,,
Hwanwoong,Yeo Hwanwoong,여환웅,환웅,8/26/1998,Oneus,South Korea,,0,0,,,,M,,,
Hwarang,Park Jonghan,박종찬,종찬,12/5/1995,Spectrum,South Korea,,0,0,,,,M,,,
Hwasa,Ahn Hyejin,안혜진,화사,7/23/1995,Mamamoo,South Korea,,162,44,Jeonju,,,F,Lead Vocalist,,
Hweseung,Yoo Hweseung,유회승,회승,2/28/1995,N.Flying,South Korea,,0,0,,,,M,,,
Hwi,Jo Mingyu,조민규,휘,9/26/2002,Newkidd,South Korea,,0,0,,,,M,,,
Hwiyoung,Kim Youngkyun,김영균,휘영,5/11/1999,SF9,South Korea,,0,0,,,,M,,,
Hyangsuk,Lee Hyangsuk,이향숙,향숙,4/24/1991,2EYES,South Korea,,165,0,Seoul,,,F,,baby_sook,
Hyebin,Lee Hyebin,이혜빈,혜빈,1/12/1996,MOMOLAND,South Korea,,165,44,Andong,,,F,,,
Hyebin,Im Hyebin,임혜빈,혜빈,11/10/1999,Highteen,South Korea,,0,0,,,,F,,,
Hyejeong,Shin Hyejeong,신혜정,혜정,8/10/1993,AoA,South Korea,,170,48,Seoul,,,F,,dongdong810,
Hyeji,Jeong Hyeji,정혜지,혜지,4/2/1992,4TEN,South Korea,,0,0,Seoul,,,F,,,
Hyejin,Baek Hyejin,백혜진,혜진,11/21/1996,4TEN,South Korea,,0,0,Sacheon,,,F,,,
Hyejin,Kang Hyejin,강혜진,혜진,7/13/2000,CRAXY,South Korea,,0,0,,,,F,,,
Hyejoo,Park Hyunjoo,박현주,혜주,1/12/1999,Highteen,South Korea,,0,0,,,,F,,,
Hyemi,Pyo Hyemi,표혜미,혜미,4/3/1991,9Muses,South Korea,,171,46,Gwangju,9MUSES A,,F,,pyopyohyemi,
Hyemi,Kim Hyemi,김혜미,혜미,8/10/1990,Fiestar,South Korea,,161,0,Seoul,,,F,,hyemi_haaaaam,
Hyeoeun,Lee Hyoeun,이효은,효은,3/16/1993,Stellar,South Korea,,0,0,Seoul,,,F,,,
Hyeongjun,Song Hyeongjun,송형준,형준,11/30/2002,X1,South Korea,,174,55,,,,M,,,
Hyeongjun,Song Hyeongjun,송형준,형준,11/30/2002,CRAVITY,South Korea,,174,55,,,,M,,,
Hyeongseo,Myeong Hyeongseo,명형서,형서,6/25/2001,Busters,South Korea,,0,0,,,,F,,,
Hyeongseok,Chu Hyeongseok,추형석,형석,9/13/2000,Astin,South Korea,,0,0,,,,M,,,
Hyeran,Noh Hyeran,노혜란,혜란,4/9/1993,Brave Girls,South Korea,,0,0,,,,F,,hrannnoh,
Hyeri,Lee Hyeri,이혜리,혜리,6/9/1994,Girl's Day,South Korea,,167,46,Gwangju,,,F,,hyeri_0609,
Hyerim,Woo Hyerim,우혜림,혜림 ,9/1/1992,Wonder Girls,South Korea,,167,0,Seoul,,,F,,wg_lim,
Hyerin,Seo Hyerin,서혜린,혜린,8/23/1993,EXID,South Korea,,165,0,Gwangju,,,F,,hyeliniseo,
Hyerin,Kim Hyerin,김혜린,혜린,6/13/1993,2EYES,South Korea,,170,0,Seoul,,,F,,hyelyn0723,
Hyeseong,Yang Hyeseon,양혜선,혜성,10/15/1999,ELRIS,South Korea,,0,0,,,,F,,,
Hyewon,Kang Hyewon,강혜원,혜원,7/5/1999,IZ*ONE,South Korea,,0,0,Yangsan,,,F,,,
Hyeyeon,Kang Hyeyeon,강혜연,혜연,12/8/1990,BESTie,South Korea,,0,0,,,EXID,F,,hyeyeon_2,
Hyeyeon,Cho Hyeyeon,조혜연,혜연,8/5/2000,Gugudan,South Korea,,0,0,,Gugudan Oguogu,,F,,,
Hyogyeong,Jang Hyogyeong,장효경,효경,11/15/1999,ARIAZ,South Korea,,0,0,,,,F,,,
Hyojin,Kim Hyojin,김효진,효진,4/22/1994,ONF,South Korea,,0,0,Seoul,,,M,,,
Hyojung,Choi Hyojung,최효정,효정,7/28/1994,Oh My Girl,South Korea,,160,46,Yangyang,,,F,,,
Hyomin,Park Sunyoung,박선영,효민,5/30/1989,T-ara,South Korea,,167,43,Busan,,,F,,hyominnn,
Hyorin,Kim Hyojung,김효정,효린,1/11/1991,SISTAR,South Korea,,0,0,,,,F,,xhyolynx,
Hyosun,Lim Hyosun,임효선,효선,7/10/1998,H.U.B,South Korea,,170,54,,,Kiwi Band,F,,,
Hyosung,Jun Hyoseong,전효성,효성,10/13/1989,SECRET,South Korea,,0,0,Cheongju,,,F,,secrettimehs,
Hyoyeon,Kim Hyoyeon,김효연,효연,9/22/1989,SNSD,South Korea,,158,48,Incheon,,,F,,watasiwahyo,
Hyuk,Han Sanghyuk,한상혁,혁,7/5/1995,VIXX,South Korea,,181,62,Daejeon,Big Byung,,M,,,
Hyukjin,Jang Hyukjin,장혁진,혁진,12/20/1993,100%,South Korea,,0,0,Busan,,,M,,,
Hyuna,Kim Hyuna,김현아,현아,6/6/1992,4minute,South Korea,,164,0,Jeolla,,Wonder Girls,F,,hyunah_aa,
Hyuna,Moon Hyuna,문현아,현아,1/19/1987,,South Korea,,172,50,Yeosu,,9Muses,F,,moongom119,
Hyunbin,Kwon Hyunbin,권현빈,현빈,3/4/1997,JBJ,South Korea,,0,0,Seoul,,,M,,,
Hyungsik,Park Hyungsik,박형식,형식,11/16/1991,ZE:A,South Korea,,0,0,Yongin,,,M,,,
Hyungwon,Chae Hyungwon,채형원,형원,1/15/1994,MONSTA X,South Korea,,0,0,Gwangju,,,M,,,
Hyunho,Lee Hyunho,이현호,현호,11/4/1998,D-CRUNCH,South Korea,,0,0,,,,M,,,
Hyunjae,Lee Jaehyun,이재현,현재,9/13/1997,The Boyz,South Korea,,180,62,,,,M,,,
Hyunji,Kim Hyunji,김현지,현지,6/30/1992,Hashtag,South Korea,,165,0,,,,F,,,
Hyunjin,Kim Hyunjin,김현진,현진,11/15/2000,LOONA,South Korea,,0,0,Jeonju,Loona 1/3,,F,,,
Hyunjin,Hwang Hyunjin,황현진,현진,3/20/2000,Stray Kids,South Korea,,0,0,Seoul,,,M,,,
Hyunjoo,Lee Hyunjoo,이현주,현주,2/5/1998,UNI.T,South Korea,,0,0,Seoul,,APRIL,F,,,
Hyunjun,Lee Hyunjun,이현준,현준,12/21/1999,IZ,South Korea,,0,0,,,,M,,,
Hyunkyung,Kim Hyunjong,김현종,현경,9/5/1998,Romeo,South Korea,,0,0,,,,M,,,
Hyunmin,Byun Hyunmin,변현민,현민,4/17/1999,,South Korea,,170,0,,,RAINZ,M,,bhm__99,bhm___99
Hyunoh,Park Hyunoh,백현우,현우,2/12/1999,D-CRUNCH,South Korea,,0,0,,,,M,,,
Hyunseong,Shim Hyunseong,심현성,현성,6/9/1993,Boyfriend,South Korea,,178,58,Yeongcheon,,,M,,,
Hyunseong,Go Hyunseo,고현서,현서,6/17/1999,G-reyish,South Korea,,0,0,,,,F,,,
Hyunseung,Jang Hyunseung,장현승,현승,9/3/1989,,South Korea,,177,58,Suncheon,Troublemaker,Beast,M,,,
Hyunsik,Lim Hyunsik,임현식,현식,3/7/1992,BtoB,South Korea,,177,66,Ilsan,,,M,,,
Hyunsoo,Kim Hyunsoo,김현수,현수,4/12/1995,D1CE,South Korea,,176,60,,,,M,,,
Hyunsuk,Choi Hyunsuk,최현석,현석,4/21/1999,Treasure,South Korea,,0,0,Daegu,,,M,,,
Hyunsuk,Yoon Hyunsuk,윤현석,현석,9/8/2001,CIX,South Korea,,188,0,,,,M,,,
Hyunuk,Han Hyunuk,한현욱,현욱,9/26/1994,IN2IT,South Korea,,179,63,,,,M,,,
Hyunwoo,Kim Hyunwoo,김현우,현우,1/21/2001,TRCNG,South Korea,,173,0,,,,M,,,
Hyunwoo,Baek Hyunwoo,박현오,현오,3/19/1999,D-CRUNCH,South Korea,,0,0,,,,M,,,
Hyunwook,Ji Hyunwook,지현욱,현욱,7/1/1998,D-CRUNCH,South Korea,,0,0,,,,M,,,
Hyunwoong,Kim Hyunwoong,김현웅,현웅,2/8/1998,14U,South Korea,,0,0,,,,M,,,
Hyunyoung,Cho Hyunyoung,조현영,현영,8/11/1991,Rainbow,South Korea,,160,41,Seoul,"Rainbow Blaxx, Rainbow Pixie",,F,,,
I,Cha Yoonji,차윤지,아이,12/2/1996,,South Korea,,0,0,Busan,,,F,,,
I.M,Lim Changkyun,임창균,아이엠,1/26/1996,MONSTA X,South Korea,,0,0,Gwangju,,,M,,,
I.N,Yang Yeongin,양정인,아이엔,2/8/2001,Stray Kids,South Korea,,0,0,Busan,,,M,,,
Iaan,Yoo Dongju,유동주,이안,3/22/2002,NeonPunch,South Korea,,0,0,,,,F,,sunghyuk_seo,
Ilhoon,Jung Ilhoon,정일훈,일훈,10/4/1994,BtoB,South Korea,,176,64,Seoul,,,M,,,
Inho,Hwang Inho,황인호,인호,6/21/1993,IN2IT,South Korea,,177,58,,,,M,,,
Inpyo,Lee Inpyo,이인표,인표,8/14/1995,IN2IT,South Korea,,182,66,,,,M,,,
Inseong,Kim Inseong,김인성,인성,7/12/1993,SF9,South Korea,,0,0,,,,M,,,
Inseong,Jeong Inseong,정인성,인성,7/1/1994,KNK,South Korea,,183,71,,,,M,Main Vocal,,
Insoo,Kang Insoo,강인수,인수,3/10/1988,MYNAME,South Korea,,0,0,Suwon,,,M,,,
Irene,Bae Juhyun,배주현,아이린,3/29/1991,Red Velvet,South Korea,,161,0,Daegu,,,F,,,
Isaac,Voo Isaak,부 아이젝,아이젝,12/12/1994,IN2IT,Malaysia,,176,56,,,,M,,,
Isol,,,이솔,5/1/1997,Lusty,South Korea,,166,48,Seoul,,,F,Main Vocal,,
IU,Lee Jieun,이지은,아이유,5/16/1993,,South Korea,,162,0,Seoul,,,F,,dlwlrma,
J,Lee Yeji,이예지,제이,2/12/1998,ANS,South Korea,,0,0,,,,F,,,
J-Hoon,Lim Junghoon,임정훈,제이훈,7/15/1990,B.I.G,South Korea,,172,62,Seoul,,,M,,,
J-Hope,Jung Hoseok,정호석,제이홉,2/18/1994,BTS,South Korea,,177,65,Gwangju,,,M,,,
J-Kid,Han Jeonghoon,한정훈,제이키드,2/14/2000,ENOi,South Korea,,177,61,,,,M,,,
J-Us,Lee Seungjoon,이승준,제이어스,1/13/1995,ONF,South Korea,,0,0,Seoul,,,M,,,
J.seph,Kim Taehyung,김태형,제이셉,6/21/1992,KARD,South Korea,USA,0,0,,,,M,,,
J.YOU,Kim Jaeyu,김제유,제유,11/2/2000,TOO,South Korea,,0,0,,,,M,,,
Jackson,Jackson Wang,잭슨 왕,잭슨,3/28/1994,GOT7,Hong Kong,,174,63,Hong Kong,,,M,,,
Jacob,Bae Joonyoung,배준영,제이콥,5/30/1997,The Boyz,South Korea,Canada,175,60,Toronto,,,M,,,
Jacob,Zhang Peng,장펑,제이콥,9/7/1996,VAV,China,,184,63,,,,M,,,
Jae,Park Jaehyung,박제형,제이,9/15/1992,DAY6,South Korea,"Argentina,USA",0,0,Buenos Aires,,,M,"Guitarist, Voca;",,
Jaebin,Deung Bin,등빈,재빈,2/13/1997,VARSITY,China,,168,0,Hunan,,,M,,,
Jaechan,Park Jaechan,박재찬,재찬,12/6/2001,Dongkiz,South Korea,,177,58,,,,M,,,
Jaehan,Kim Jaehan,김재한,재한,7/1/1995,Spectrum,South Korea,,0,0,,,,M,,,
Jaeho,Kim Jaeho,김재호,재호,9/17/1992,HISTORY,South Korea,,174,58,,,,M,,,
Jaehwan,Kim Jaehwan,김재환,재환,5/27/1996,Wanna One,South Korea,,0,0,Seoul,,,M,,,
Jaehyo,Ahn Jaehyo,안재효,재효,12/23/1990,Block B,South Korea,,182,60,Busan,,,M,,,
Jaehyuk,Yoon Jaehyuk,윤재혁,재혁,7/23/2001,Treasure,South Korea,,0,0,,,,M,,,
Jaehyun,Jung Yoonoh,정윤오,재현,2/14/1997,NCT,South Korea,,0,0,Seoul,"NCT U, NCT 127",,M,,,
Jaehyun,Kim Jaehyun,김재현,재현,7/15/1994,N.Flying,South Korea,,0,0,Seoul,,,M,Drummer,,
Jaehyun,Bong Jaehyun,봉재현,재현,1/4/1999,Golden Child,South Korea,,0,0,,,,M,,,
Jaejin,Lee Jaejin,이재진,재진,12/17/1991,FTISLAND,South Korea,,0,0,Cheongju,,,M,Bassist,,
Jaejoong,Kim Jaejoong,김재중,재중,1/26/1986,JYJ,South Korea,,0,0,Gongju,,TVXQ,M,,,
Jaekyung,Kim Jaekyung,김재경,재경,12/24/1988,Rainbow,South Korea,,168,45,Seoul,Rainbow Blaxx,,F,,,
Jaemin,Na Jaemin,나재민,재민,8/13/2000,NCT,South Korea,,0,0,,NCT Dream,,M,,,
Jaeseok,Park Jaeseok,박재석,재석,11/20/1995,,South Korea,,0,0,,,Golden Child,M,,,
Jaeun,Ha Jaeun,한재운,재운,9/28/1999,ARGON,South Korea,,0,0,,,,M,,,
Jaeyoon,Lee Jaeyoon,이재윤,재윤,8/9/1994,SF9,South Korea,,0,0,,,,M,,,
Jaeyun,Lee Jaeyun,이재윤,이재윤,8/16/2000,TOO,South Korea,,0,0,,,,M,,,
Jamie,Park Jimin,박지민,박지민,7/5/1997,15&,South Korea,,160,0,Junggu,,,F,,jiminxjamie,
Jane,Sung Jiyeon,성지연,제인,12/20/1997,MOMOLAND,South Korea,,167,46,Changwon,,,F,,,
Jangjun,Lee Jangjun,이장준,장준,3/3/1997,Golden Child,South Korea,,0,0,,,,M,,,
Jason,Kim Byeongkwan,김병관,제이슨,8/13/1996,A.C.E,South Korea,,0,0,Seoul,,,M,,,
Jay,Kim Jinhwan,김진환,제이,2/7/1994,iKON,South Korea,,0,0,Jeju,,,M,,,
JB,Im Jaebum,임재범,제이비,1/6/1994,GOT7,South Korea,,179,63,Goyang,,,M,,,
Jea,Kim Hyojin,김효진,제아,9/18/1981,Brown Eyed Girls,South Korea,,0,0,,,,F,,jeaworld,
Jeewon,Kim Jiwon,김지원,지원,4/1/1999,Cignature,South Korea,,0,0,Busan,,Good Day,F,,,
Jehyun,Moon Jehyun,문제현,제현,4/20/1999,1TEAM,South Korea,,0,0,,,,M,,,
Jei,Kim Jinhee,김진희,재이,9/5/1989,Fiestar,South Korea,,162,0,Bucheon,,,F,,kimjeii,
Jen,Kim Yehyeon,김예현,젠,3/27/1997,UNVS,South Korea,,0,0,,,,M,,,
Jenissi,Kim Taeyang,김태양,제니씨,8/2/1991,,South Korea,,0,0,Seoul,,Topp Dogg,M,,,
Jennie,Kim Jennie,김제니,제니,1/16/1996,BLACKPINK,South Korea,,163,50,Anyang,,,F,,,
